registry_id,state,navy,asset_name,ship_prefix,hull_number,designation,class_name,category,subtype,propulsion,commission_date,date_precision,decommission_date,status_1947,status_1985,final_disposition,full_load_tonnes,submerged_displacement_tonnes,standard_crew,standard_air_group,primary_armament_or_payload,principal_role,construction_origin,predecessor_designation,canon_status,source_basis,notes
ARG-00042,Argentina,Armada de la República Argentina,San Luis,ARA,D-11,ARA San Luis,Buenos Aires,Destroyer,Fleet destroyer,Oil-fired geared steam turbine; two shafts,1939,year,1963,Afloat—working extrapolation,Decommissioned,"Retired, transferred, or scrapped; exact alternate fate open",2375,,130,,Four 120 mm guns; 40 mm and 20 mm antiaircraft guns; eight 533 mm torpedo tubes; depth charges,South Atlantic fleet screening and torpedo attack,Britain; Argentine service,,Working extrapolation,Naval transcript; regional fleet continuity; historical Buenos Aires characteristics,"Class and design are historical; survival, transfer where stated, and retirement date are working setting extrapolations."
ARG-00043,Argentina,Armada de la República Argentina,Santa Cruz,ARA,D-12,ARA Santa Cruz,Buenos Aires,Destroyer,Fleet destroyer,Oil-fired geared steam turbine; two shafts,1939,year,1966,Afloat—working extrapolation,Decommissioned,"Retired, transferred, or scrapped; exact alternate fate open",2375,,130,,Four 120 mm guns; 40 mm and 20 mm antiaircraft guns; eight 533 mm torpedo tubes; depth charges,South Atlantic fleet screening and torpedo attack,Britain; Argentine service,,Working extrapolation,Naval transcript; regional fleet continuity; historical Buenos Aires characteristics,"Class and design are historical; survival, transfer where stated, and retirement date are working setting extrapolations."
ARG-00046,Argentina,Armada de la República Argentina,Paraná,ARA,P-22,ARA Paraná,Bathurst transfer,Frigate,Ocean minesweeping corvette,Triple-expansion steam engine; two shafts,1942,year,1959,Afloat—working extrapolation,Decommissioned,"Retired, transferred, or scrapped; exact alternate fate open",1025,,85,,One 102 mm gun; 40 mm and 20 mm antiaircraft guns; depth charges and minesweeping gear,South Atlantic escort and minesweeping,British Commonwealth transfer,,Working extrapolation,Naval transcript; regional fleet continuity; historical Bathurst transfer characteristics,"Class and design are historical; survival, transfer where stated, and retirement date are working setting extrapolations."
ARG-00047,Argentina,Armada de la República Argentina,Rosario,ARA,P-23,ARA Rosario,Bathurst transfer,Frigate,Ocean minesweeping corvette,Triple-expansion steam engine; two shafts,1943,year,1964,Afloat—working extrapolation,Decommissioned,"Retired, transferred, or scrapped; exact alternate fate open",1025,,85,,One 102 mm gun; 40 mm and 20 mm antiaircraft guns; depth charges and minesweeping gear,South Atlantic escort and minesweeping,British Commonwealth transfer,,Working extrapolation,Naval transcript; regional fleet continuity; historical Bathurst transfer characteristics,"Class and design are historical; survival, transfer where stated, and retirement date are working setting extrapolations."
ARG-00044,Argentina,Armada de la República Argentina,Murature,ARA,P-20,ARA Murature,Murature,Frigate,Ocean patrol sloop,Diesel; two shafts,1945,year,1949,Afloat—working extrapolation,Decommissioned,"Retired, transferred, or scrapped; exact alternate fate open",1350,,140,,Three 105 mm guns; 40 mm and 20 mm antiaircraft guns; depth charges,"South Atlantic patrol, escort, and training",Argentina,,Working extrapolation,Naval transcript; regional fleet continuity; historical Murature characteristics,"Class and design are historical; survival, transfer where stated, and retirement date are working setting extrapolations."
ARG-00045,Argentina,Armada de la República Argentina,King,ARA,P-21,ARA King,Murature,Frigate,Ocean patrol sloop,Diesel; two shafts,1946,year,1954,Afloat—working extrapolation,Decommissioned,"Retired, transferred, or scrapped; exact alternate fate open",1350,,140,,Three 105 mm guns; 40 mm and 20 mm antiaircraft guns; depth charges,"South Atlantic patrol, escort, and training",Argentina,,Working extrapolation,Naval transcript; regional fleet continuity; historical Murature characteristics,"Class and design are historical; survival, transfer where stated, and retirement date are working setting extrapolations."
ARG-00025,Argentina,Armada de la República Argentina,Salta,ARA,S-31,ARA Salta,Salta,SSK,,Diesel-electric,1967,year,,Not yet commissioned,Active,Active,,1900,,,,Patrol and convoy attack,German Type XXIV export,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00031,Argentina,Armada de la República Argentina,Cabo San Antonio,ARA,Q-41,ARA Cabo San Antonio,Cabo San Antonio,Amphibious,,Diesel,1968,year,,Not yet commissioned,Active,Active,8200,,,,540 troops and twenty-one armored vehicles,Tank landing ship,Argentina,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00026,Argentina,Armada de la República Argentina,San Luis,ARA,S-32,ARA San Luis,Salta,SSK,,Diesel-electric,1968,year,,Not yet commissioned,Active,Active,,1900,,,,Patrol and convoy attack,German Type XXIV export,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00001,Argentina,Armada de la República Argentina,Veinticinco de Mayo,ARA,,ARA Veinticinco de Mayo,Veinticinco de Mayo,Light/assault carrier,,Steam turbine,1969,year,,Not yet commissioned,Active,Active,25500,,,32,,Light fleet carrier under mainland cover,British hull; German-assisted Argentine reconstruction,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00032,Argentina,Armada de la República Argentina,Cabo San Pío,ARA,Q-42,ARA Cabo San Pío,Cabo San Antonio,Amphibious,,Diesel,1970,year,,Not yet commissioned,Active,Active,8200,,,,540 troops and twenty-one armored vehicles,Tank landing ship,Argentina,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00057,Argentina,Armada de la República Argentina,Patagonia,ARA,AUX-001,ARA Patagonia,Argentine fleet auxiliary,Major auxiliary,,Diesel or steam turbine,1970,year,,Not yet commissioned,Active,,18000,,,,,Major auxiliary,Argentina,,Extrapolated hull,Naval transcript § revised 1985 fleet balance (Argentina Major auxiliary),Individual hull required to satisfy the locked 1985 force total; personal name and detailed subclass remain open.
ARG-00051,Argentina,Armada de la República Argentina,San Blas,ARA,MCM-001,ARA San Blas,Patagonia mine-countermeasure,Mine warfare,,Diesel or gas turbine,1970,year,,Not yet commissioned,Active,,850,,,,,Mine warfare,Argentina,,Extrapolated hull,Naval transcript § revised 1985 fleet balance (Argentina Mine warfare); user-directed Argentina national naming doctrine,Individual hull required to satisfy the locked 1985 force total; personal name fixed under national naming rule; detailed subclass remains open. Personal name assigned from the Argentina Mine warfare naming pool; hull number remains the administrative identifier.
ARG-00003,Argentina,Armada de la República Argentina,San Martín,ARA,D-01,ARA San Martín,San Martín,Destroyer,,Steam turbine,1972,year,,Not yet commissioned,Active,Active,4900,,,,Two 127 mm guns; 24 SAMs; eight anti-ship missiles; one helicopter,Missile destroyer,Two German-built; two Argentine-assembled,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00058,Argentina,Armada de la República Argentina,Bahía Blanca,ARA,AUX-002,ARA Bahía Blanca,Argentine fleet auxiliary,Major auxiliary,,Diesel or steam turbine,1972,year,,Not yet commissioned,Active,,18000,,,,,Major auxiliary,Argentina,,Extrapolated hull,Naval transcript § revised 1985 fleet balance (Argentina Major auxiliary),Individual hull required to satisfy the locked 1985 force total; personal name and detailed subclass remain open.
ARG-00052,Argentina,Armada de la República Argentina,San Matías,ARA,MCM-002,ARA San Matías,Patagonia mine-countermeasure,Mine warfare,,Diesel or gas turbine,1972,year,,Not yet commissioned,Active,,850,,,,,Mine warfare,Argentina,,Extrapolated hull,Naval transcript § revised 1985 fleet balance (Argentina Mine warfare); user-directed Argentina national naming doctrine,Individual hull required to satisfy the locked 1985 force total; personal name fixed under national naming rule; detailed subclass remains open. Personal name assigned from the Argentina Mine warfare naming pool; hull number remains the administrative identifier.
ARG-00017,Argentina,Armada de la República Argentina,Intrépida,ARA,P-21,ARA Intrépida,Intrépida,Corvette/missile craft,,Diesel,1974,year,,Not yet commissioned,Active,Active,450,,,,76 mm gun; four anti-ship missiles,Fast missile craft,Argentina,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00002,Argentina,Armada de la República Argentina,Almirante Brown,ARA,,ARA Almirante Brown,Almirante Brown,Cruiser,,Steam turbine,1974,year,,Not yet commissioned,Active,Active,12800,,,,Four 150 mm guns; 32 SAM cells; eight anti-ship missiles; two helicopters,Fleet flagship and area defense,Germany,,Explicit canon,Naval transcript; class lineage and force table; confirmed P0-03 chronology,"Launched at Wilhelmshaven in late 1973; delivered and commissioned into Argentine service in mid-1974."
ARG-00004,Argentina,Armada de la República Argentina,Hércules,ARA,D-02,ARA Hércules,San Martín,Destroyer,,Steam turbine,1974,year,,Not yet commissioned,Active,Active,4900,,,,Two 127 mm guns; 24 SAMs; eight anti-ship missiles; one helicopter,Missile destroyer,Two German-built; two Argentine-assembled,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00059,Argentina,Armada de la República Argentina,Punta Alta,ARA,AUX-003,ARA Punta Alta,Argentine fleet auxiliary,Major auxiliary,,Diesel or steam turbine,1974,year,,Not yet commissioned,Active,,18000,,,,,Major auxiliary,Argentina,,Extrapolated hull,Naval transcript § revised 1985 fleet balance (Argentina Major auxiliary),Individual hull required to satisfy the locked 1985 force total; personal name and detailed subclass remain open.
ARG-00018,Argentina,Armada de la República Argentina,Indómita,ARA,P-22,ARA Indómita,Intrépida,Corvette/missile craft,,Diesel,1975,year,,Not yet commissioned,Active,Active,450,,,,76 mm gun; four anti-ship missiles,Fast missile craft,Argentina,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00053,Argentina,Armada de la República Argentina,San Jorge,ARA,MCM-003,ARA San Jorge,Patagonia mine-countermeasure,Mine warfare,,Diesel or gas turbine,1975,year,,Not yet commissioned,Active,,850,,,,,Mine warfare,Argentina,,Extrapolated hull,Naval transcript § revised 1985 fleet balance (Argentina Mine warfare); user-directed Argentina national naming doctrine,Individual hull required to satisfy the locked 1985 force total; personal name fixed under national naming rule; detailed subclass remains open. Personal name assigned from the Argentina Mine warfare naming pool; hull number remains the administrative identifier.
ARG-00027,Argentina,Armada de la República Argentina,Santa Cruz,ARA,S-33,ARA Santa Cruz,Santa Cruz,SSK,,Diesel-electric,1975,year,,Not yet commissioned,Active,Active,,2700,,,,Long-range quiet attack,German Type XXXIII-derived export,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00060,Argentina,Armada de la República Argentina,Comodoro Rivadavia,ARA,AUX-004,ARA Comodoro Rivadavia,Argentine fleet auxiliary,Major auxiliary,,Diesel or steam turbine,1976,year,,Not yet commissioned,Active,,18000,,,,,Major auxiliary,Argentina,,Extrapolated hull,Naval transcript § revised 1985 fleet balance (Argentina Major auxiliary),Individual hull required to satisfy the locked 1985 force total; personal name and detailed subclass remain open.
ARG-00028,Argentina,Armada de la República Argentina,Santa Fe,ARA,S-34,ARA Santa Fe,Santa Cruz,SSK,,Diesel-electric,1976,year,,Not yet commissioned,Active,Active,,2700,,,,Long-range quiet attack,German Type XXXIII-derived export,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00019,Argentina,Armada de la República Argentina,Heroína,ARA,P-23,ARA Heroína,Intrépida,Corvette/missile craft,,Diesel,1977,year,,Not yet commissioned,Active,Active,450,,,,76 mm gun; four anti-ship missiles,Fast missile craft,Argentina,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00005,Argentina,Armada de la República Argentina,Santísima Trinidad,ARA,D-03,ARA Santísima Trinidad,San Martín,Destroyer,,Steam turbine,1977,year,,Not yet commissioned,Active,Active,4900,,,,Two 127 mm guns; 24 SAMs; eight anti-ship missiles; one helicopter,Missile destroyer,Two German-built; two Argentine-assembled,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00033,Argentina,Armada de la República Argentina,Bahía Buen Suceso,ARA,B-01,ARA Bahía Buen Suceso,Bahía,Amphibious,,Diesel,1978,year,,Not yet commissioned,Active,Active,12500,,,,,Assault transport and engineering support,Argentina,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00013,Argentina,Armada de la República Argentina,Drummond,ARA,P-31,ARA Drummond,Drummond,Corvette/missile craft,,Diesel,1978,year,,Not yet commissioned,Active,Active,1350,,,,100 mm gun; four anti-ship missiles; light ASW,Patrol corvette,Argentina,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00020,Argentina,Armada de la República Argentina,Guerrera,ARA,P-24,ARA Guerrera,Intrépida,Corvette/missile craft,,Diesel,1978,year,,Not yet commissioned,Active,Active,450,,,,76 mm gun; four anti-ship missiles,Fast missile craft,Argentina,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00061,Argentina,Armada de la República Argentina,Puerto Deseado,ARA,AUX-005,ARA Puerto Deseado,Argentine fleet auxiliary,Major auxiliary,,Diesel or steam turbine,1978,year,,Not yet commissioned,Active,,18000,,,,,Major auxiliary,Argentina,,Extrapolated hull,Naval transcript § revised 1985 fleet balance (Argentina Major auxiliary),Individual hull required to satisfy the locked 1985 force total; personal name and detailed subclass remain open.
ARG-00054,Argentina,Armada de la República Argentina,San Borombón,ARA,MCM-004,ARA San Borombón,Patagonia mine-countermeasure,Mine warfare,,Diesel or gas turbine,1978,year,,Not yet commissioned,Active,,850,,,,,Mine warfare,Argentina,,Extrapolated hull,Naval transcript § revised 1985 fleet balance (Argentina Mine warfare); user-directed Argentina national naming doctrine,Individual hull required to satisfy the locked 1985 force total; personal name fixed under national naming rule; detailed subclass remains open. Personal name assigned from the Argentina Mine warfare naming pool; hull number remains the administrative identifier.
ARG-00014,Argentina,Armada de la República Argentina,Guerrico,ARA,P-32,ARA Guerrico,Drummond,Corvette/missile craft,,Diesel,1979,year,,Not yet commissioned,Active,Active,1350,,,,100 mm gun; four anti-ship missiles; light ASW,Patrol corvette,Argentina,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00006,Argentina,Armada de la República Argentina,La Argentina,ARA,D-04,ARA La Argentina,San Martín,Destroyer,,Steam turbine,1979,year,,Not yet commissioned,Active,Active,4900,,,,Two 127 mm guns; 24 SAMs; eight anti-ship missiles; one helicopter,Missile destroyer,Two German-built; two Argentine-assembled,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00034,Argentina,Armada de la República Argentina,Bahía Paraíso,ARA,B-02,ARA Bahía Paraíso,Bahía,Amphibious,,Diesel,1980,year,,Not yet commissioned,Active,Active,12500,,,,,Assault transport and engineering support,Argentina,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00021,Argentina,Armada de la República Argentina,Cóndor,ARA,P-25,ARA Cóndor,Cóndor,Corvette/missile craft,,Diesel,1980,year,,Not yet commissioned,Active,Active,450,,,,76 mm gun; four anti-ship missiles,Fast missile craft,Argentina,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00015,Argentina,Armada de la República Argentina,Granville,ARA,P-33,ARA Granville,Drummond,Corvette/missile craft,,Diesel,1980,year,,Not yet commissioned,Active,Active,1350,,,,100 mm gun; four anti-ship missiles; light ASW,Patrol corvette,Argentina,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00062,Argentina,Armada de la República Argentina,Ushuaia,ARA,AUX-006,ARA Ushuaia,Argentine fleet auxiliary,Major auxiliary,,Diesel or steam turbine,1980,year,,Not yet commissioned,Active,,18000,,,,,Major auxiliary,Argentina,,Extrapolated hull,Naval transcript § revised 1985 fleet balance (Argentina Major auxiliary),Individual hull required to satisfy the locked 1985 force total; personal name and detailed subclass remain open.
ARG-00055,Argentina,Armada de la República Argentina,San Sebastián,ARA,MCM-005,ARA San Sebastián,Patagonia mine-countermeasure,Mine warfare,,Diesel or gas turbine,1980,year,,Not yet commissioned,Active,,850,,,,,Mine warfare,Argentina,,Extrapolated hull,Naval transcript § revised 1985 fleet balance (Argentina Mine warfare); user-directed Argentina national naming doctrine,Individual hull required to satisfy the locked 1985 force total; personal name fixed under national naming rule; detailed subclass remains open. Personal name assigned from the Argentina Mine warfare naming pool; hull number remains the administrative identifier.
ARG-00029,Argentina,Armada de la República Argentina,Santiago del Estero,ARA,S-35,ARA Santiago del Estero,Santiago del Estero,SSK,,Diesel-electric,1980,year,,Not yet commissioned,Active,Active,,950,,,,Coastal and Falkland Sound ambush,Argentina under German license,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00022,Argentina,Armada de la República Argentina,Águila,ARA,P-26,ARA Águila,Cóndor,Corvette/missile craft,,Diesel,1981,year,,Not yet commissioned,Active,Active,450,,,,76 mm gun; four anti-ship missiles,Fast missile craft,Argentina,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00016,Argentina,Armada de la República Argentina,Bouchard,ARA,P-34,ARA Bouchard,Drummond,Corvette/missile craft,,Diesel,1981,year,,Not yet commissioned,Active,Active,1350,,,,100 mm gun; four anti-ship missiles; light ASW,Patrol corvette,Argentina,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00030,Argentina,Armada de la República Argentina,Catamarca,ARA,S-36,ARA Catamarca,Santiago del Estero,SSK,,Diesel-electric,1981,year,,Not yet commissioned,Active,Active,,950,,,,Coastal and Falkland Sound ambush,Argentina under German license,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00007,Argentina,Armada de la República Argentina,Espora,ARA,P-41,ARA Espora,Espora,Corvette/missile craft,,Diesel,1982,year,,Not yet commissioned,Active,Active,2100,,,,100 mm gun; eight anti-ship missiles; SAMs; torpedoes,Missile corvette,Argentina under German license,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00023,Argentina,Armada de la República Argentina,Halcón,ARA,P-27,ARA Halcón,Cóndor,Corvette/missile craft,,Diesel,1982,year,,Not yet commissioned,Active,Active,450,,,,76 mm gun; four anti-ship missiles,Fast missile craft,Argentina,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00008,Argentina,Armada de la República Argentina,Rosales,ARA,P-42,ARA Rosales,Espora,Corvette/missile craft,,Diesel,1982,year,,Not yet commissioned,Active,Active,2100,,,,100 mm gun; eight anti-ship missiles; SAMs; torpedoes,Missile corvette,Argentina under German license,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00063,Argentina,Armada de la República Argentina,San Julián,ARA,AUX-007,ARA San Julián,Argentine fleet auxiliary,Major auxiliary,,Diesel or steam turbine,1982,year,,Not yet commissioned,Active,,18000,,,,,Major auxiliary,Argentina,,Extrapolated hull,Naval transcript § revised 1985 fleet balance (Argentina Major auxiliary),Individual hull required to satisfy the locked 1985 force total; personal name and detailed subclass remain open.
ARG-00024,Argentina,Armada de la República Argentina,Albatros,ARA,P-28,ARA Albatros,Cóndor,Corvette/missile craft,,Diesel,1983,year,,Not yet commissioned,Active,Active,450,,,,76 mm gun; four anti-ship missiles,Fast missile craft,Argentina,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00010,Argentina,Armada de la República Argentina,Parker,ARA,P-44,ARA Parker,Espora,Corvette/missile craft,,Diesel,1983,year,,Not yet commissioned,Active,Active,2100,,,,100 mm gun; eight anti-ship missiles; SAMs; torpedoes,Missile corvette,Argentina under German license,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00009,Argentina,Armada de la República Argentina,Spiro,ARA,P-43,ARA Spiro,Espora,Corvette/missile craft,,Diesel,1983,year,,Not yet commissioned,Active,Active,2100,,,,100 mm gun; eight anti-ship missiles; SAMs; torpedoes,Missile corvette,Argentina under German license,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00056,Argentina,Armada de la República Argentina,Santa Catalina,ARA,MCM-006,ARA Santa Catalina,Patagonia mine-countermeasure,Mine warfare,,Diesel or gas turbine,1983,year,,Not yet commissioned,Active,,850,,,,,Mine warfare,Argentina,,Extrapolated hull,Naval transcript § revised 1985 fleet balance (Argentina Mine warfare); user-directed Argentina national naming doctrine,Individual hull required to satisfy the locked 1985 force total; personal name fixed under national naming rule; detailed subclass remains open. Personal name assigned from the Argentina Mine warfare naming pool; hull number remains the administrative identifier.
ARG-00011,Argentina,Armada de la República Argentina,Robinson,ARA,P-45,ARA Robinson,Espora,Corvette/missile craft,,Diesel,1984,year,,Not yet commissioned,Active,Active,2100,,,,100 mm gun; eight anti-ship missiles; SAMs; torpedoes,Missile corvette,Argentina under German license,,Explicit canon,Naval transcript; class lineage and force table,
ARG-00064,Argentina,Armada de la República Argentina,Río Gallegos,ARA,AUX-008,ARA Río Gallegos,Argentine fleet auxiliary,Major auxiliary,,Diesel or steam turbine,1984,year,,Not yet commissioned,Active,,18000,,,,,Major auxiliary,Argentina,,Extrapolated hull,Naval transcript § revised 1985 fleet balance (Argentina Major auxiliary),Individual hull required to satisfy the locked 1985 force total; personal name and detailed subclass remain open.
ARG-00012,Argentina,Armada de la República Argentina,Gómez Roca,ARA,P-46,ARA Gómez Roca,Espora,Corvette/missile craft,,Diesel,1985,year,,Not yet commissioned,Active,Active,2100,,,,100 mm gun; eight anti-ship missiles; SAMs; torpedoes,Missile corvette,Argentina under German license,,Explicit canon,Naval transcript; class lineage and force table,
BRI-00005,Britain,Royal Navy,Queen Elizabeth,HMS,00,HMS Queen Elizabeth,Queen Elizabeth,Battleship,Fast battleship,Oil-fired geared steam turbine,1915,year,1956,Afloat—not operational,Decommissioned,Retired or disposed; exact fate open,36500,,1124,,Eight 381 mm guns; twenty 114 mm dual-purpose guns; 40 mm and 20 mm antiaircraft guns,Battle-line and postwar reserve,Britain,,Explicit canon,Naval transcript § British capital-ship survivors,Historical class assignment; alternate survival and retirement remain setting canon or extrapolation.
BRI-00002,Britain,Royal Navy,Renown,HMS,72,HMS Renown,Renown,Battleship,Battlecruiser,Oil-fired geared steam turbine,1916,year,1952,Afloat—not operational,Decommissioned,Retired or disposed; exact fate open,37100,,1181,,Six 381 mm guns; twenty 114 mm dual-purpose guns; 40 mm and 20 mm antiaircraft guns,Battle-line and postwar reserve,Britain,,Explicit canon,Naval transcript § British capital-ship survivors,Historical class assignment; alternate survival and retirement remain setting canon or extrapolation.
